sample_id,latitude_deg,longitude_deg,diviner_max_temp_k,diviner_min_temp_k,diviner_temp_range_k,psr_cold_trap_flag,ice_stability_depth_cm
DIVINER_00000,-86.2546,-38.2912,204.5,137.4,67.1,0,999.0
DIVINER_00001,-80.4929,-9.5632,85.8,69.5,16.3,1,0.0
DIVINER_00002,-82.6801,127.6371,215.1,143.8,71.3,0,999.0
DIVINER_00003,-84.0134,-57.5984,209.0,162.3,46.7,0,999.0
DIVINER_00004,-88.4398,133.0739,220.0,169.9,50.1,0,999.0
DIVINER_00005,-88.4401,-148.2716,212.6,150.1,62.4,0,999.0
DIVINER_00006,-89.4192,99.6474,203.9,133.5,70.4,0,999.0
DIVINER_00007,-81.3382,125.1171,224.3,180.3,44.0,0,999.0
DIVINER_00008,-83.9888,-114.5456,181.5,126.5,55.0,0,999.0
DIVINER_00009,-82.9193,-25.0752,212.5,178.1,34.4,0,999.0
DIVINER_00010,-89.7942,-120.4201,186.8,178.6,8.3,0,999.0
DIVINER_00011,-80.3009,74.3775,206.2,160.0,46.2,0,999.0
DIVINER_00012,-81.6756,12.7252,227.5,164.1,63.4,0,999.0
DIVINER_00013,-87.8766,48.7164,188.5,145.1,43.5,0,999.0
DIVINER_00014,-88.1818,-109.2647,236.1,178.9,57.2,0,999.0
DIVINER_00015,-88.166,-103.7715,233.3,138.5,94.9,0,999.0
DIVINER_00016,-86.9576,-165.061,204.9,159.2,45.7,0,999.0
DIVINER_00017,-84.7524,-64.0557,180.4,120.1,60.2,0,999.0
DIVINER_00018,-85.6805,21.5081,227.4,185.8,41.6,0,999.0
DIVINER_00019,-87.0877,128.8566,232.9,186.4,46.5,0,999.0
DIVINER_00020,-83.8815,60.0939,190.5,169.7,20.8,0,999.0
DIVINER_00021,-88.6051,-23.2573,235.0,149.6,85.3,0,999.0
DIVINER_00022,-87.0786,163.1232,234.8,132.5,102.3,0,999.0
DIVINER_00023,-86.3364,78.9283,208.3,154.5,53.8,0,999.0
DIVINER_00024,-85.4393,154.8595,227.9,175.4,52.5,0,999.0
DIVINER_00025,-82.1482,9.9317,206.7,162.4,44.3,0,999.0
DIVINER_00026,-88.0033,-86.7945,213.8,156.9,56.9,0,999.0
DIVINER_00027,-84.8577,-160.9824,199.2,179.5,19.7,0,999.0
DIVINER_00028,-84.0759,81.3905,189.6,141.9,47.6,0,999.0
DIVINER_00029,-89.5355,-136.3309,224.8,180.2,44.6,0,999.0
DIVINER_00030,-83.9246,-71.001,180.1,150.8,29.3,0,999.0
DIVINER_00031,-88.2948,11.6895,214.8,120.2,94.6,0,999.0
DIVINER_00032,-89.3495,23.19,231.9,171.2,60.6,0,999.0
DIVINER_00033,-80.5111,36.21,193.3,181.4,11.8,0,999.0
DIVINER_00034,-80.3437,-120.1481,200.0,153.9,46.1,0,999.0
