sample_id,latitude_deg,longitude_deg,lend_epithermal_cps,neutron_suppression_index,weh_wt_pct,weh_ppm,water_ice_probability,is_cold_trap
LEND_00000,-86.2546,-38.2912,3.65,0.214,0.58,580,0.212,0
LEND_00001,-80.4929,-9.5632,2.71,0.416,4.88,4880,0.98,1
LEND_00002,-82.6801,127.6371,3.91,0.159,1.37,1370,0.329,0
LEND_00003,-84.0134,-57.5984,3.67,0.21,1.97,1970,0.463,0
LEND_00004,-88.4398,133.0739,4.09,0.12,1.94,1940,0.413,0
LEND_00005,-88.4401,-148.2716,3.76,0.192,0.49,490,0.185,0
LEND_00006,-89.4192,99.6474,3.91,0.16,0.58,580,0.185,0
LEND_00007,-81.3382,125.1171,3.66,0.213,1.23,1230,0.33,0
LEND_00008,-83.9888,-114.5456,3.53,0.241,1.0,1000,0.302,0
LEND_00009,-82.9193,-25.0752,3.62,0.221,1.64,1640,0.409,0
LEND_00010,-89.7942,-120.4201,3.53,0.24,1.24,1240,0.346,0
LEND_00011,-80.3009,74.3775,3.83,0.177,0.34,340,0.15,0
LEND_00012,-81.6756,12.7252,3.91,0.159,0.84,840,0.232,0
LEND_00013,-87.8766,48.7164,3.53,0.241,2.01,2010,0.486,0
LEND_00014,-88.1818,-109.2647,3.56,0.234,1.27,1270,0.348,0
LEND_00015,-88.166,-103.7715,3.84,0.174,1.82,1820,0.418,0
LEND_00016,-86.9576,-165.061,4.06,0.127,1.06,1060,0.256,0
LEND_00017,-84.7524,-64.0557,3.94,0.153,1.59,1590,0.365,0
LEND_00018,-85.6805,21.5081,3.57,0.232,0.62,620,0.229,0
LEND_00019,-87.0877,128.8566,4.12,0.114,1.7,1700,0.366,0
LEND_00020,-83.8815,60.0939,4.14,0.109,1.79,1790,0.38,0
LEND_00021,-88.6051,-23.2573,3.73,0.198,0.47,470,0.185,0
LEND_00022,-87.0786,163.1232,3.93,0.155,0.65,650,0.195,0
LEND_00023,-86.3364,78.9283,3.84,0.173,1.18,1180,0.301,0
LEND_00024,-85.4393,154.8595,4.16,0.106,1.51,1510,0.327,0
LEND_00025,-82.1482,9.9317,3.86,0.171,1.51,1510,0.36,0
LEND_00026,-88.0033,-86.7945,4.17,0.103,1.57,1570,0.337,0
LEND_00027,-84.8577,-160.9824,3.64,0.217,1.66,1660,0.41,0
LEND_00028,-84.0759,81.3905,3.74,0.195,1.26,1260,0.327,0
LEND_00029,-89.5355,-136.3309,4.05,0.13,1.39,1390,0.318,0
LEND_00030,-83.9246,-71.001,4.05,0.129,0.32,320,0.123,0
LEND_00031,-88.2948,11.6895,4.01,0.137,0.62,620,0.181,0
LEND_00032,-89.3495,23.19,4.1,0.118,1.25,1250,0.286,0
LEND_00033,-80.5111,36.21,3.99,0.142,1.72,1720,0.384,0
LEND_00034,-80.3437,-120.1481,3.95,0.152,1.84,1840,0.41,0
LEND_00035,-81.916,-43.2945,3.82,0.178,1.68,1680,0.395,0
LEND_00036,-86.9539,42.1899,3.83,0.177,1.22,1220,0.31,0
LEND_00037,-89.0233,169.1348,3.78,0.186,0.83,830,0.244,0
LEND_00038,-83.1577,81.9472,3.93,0.154,1.14,1140,0.284,0
LEND_00039,-85.5985,152.1374,3.78,0.186,0.32,320,0.151,0
LEND_00040,-88.7796,94.3963,3.6,0.225,1.44,1440,0.374,0
LEND_00041,-85.0482,33.0181,3.57,0.231,0.44,440,0.196,0
LEND_00042,-89.6561,-110.8716,4.15,0.108,0.58,580,0.16,0
LEND_00043,-80.9068,60.0068,3.52,0.244,1.49,1490,0.393,0
LEND_00044,-87.4122,44.4166,3.57,0.231,0.33,330,0.176,0
LEND_00045,-83.3748,36.8889,3.81,0.18,1.39,1390,0.343,0
LEND_00046,-86.8829,-3.6771,3.68,0.208,1.51,1510,0.378,0
LEND_00047,-84.7993,10.3164,3.78,0.186,1.8,1800,0.42,0
LEND_00048,-84.5329,-59.6007,3.58,0.23,0.43,430,0.193,0
LEND_00049,-88.1515,6.9526,3.59,0.228,0.31,310,0.17,0
LEND_00050,-80.3042,-108.8799,4.06,0.127,1.76,1760,0.383,0
LEND_00051,-82.2487,109.8628,2.75,0.409,4.07,4070,0.944,1
LEND_00052,-80.605,-113.1203,3.57,0.232,1.99,1990,0.478,0
LEND_00053,-81.0517,-149.4121,3.97,0.147,0.65,650,0.192,0
LEND_00054,-84.021,-22.9514,3.93,0.156,1.41,1410,0.334,0
LEND_00055,-80.7813,56.9907,4.0,0.14,0.51,510,0.163,0
LEND_00056,-89.1151,-22.4219,3.83,0.176,1.07,1070,0.282,0
LEND_00057,-88.0402,-80.3685,3.69,0.207,1.98,1980,0.463,0
LEND_00058,-89.5477,20.9416,3.96,0.147,1.46,1460,0.339,0
LEND_00059,-86.7467,-55.0792,3.76,0.191,1.61,1610,0.388,0
LEND_00060,-86.1132,155.8324,3.65,0.214,0.73,730,0.24,0
LEND_00061,-87.2865,152.1523,2.93,0.37,5.2,5200,0.98,1
LEND_00062,-81.7126,0.8539,4.03,0.132,1.48,1480,0.335,0
LEND_00063,-86.4325,-61.9618,3.83,0.176,0.5,500,0.179,0
LEND_00064,-87.1907,85.3677,3.71,0.202,0.33,330,0.161,0
LEND_00065,-84.573,-166.7833,4.08,0.122,0.33,330,0.121,0
LEND_00066,-88.5908,-9.0832,4.12,0.115,0.4,400,0.13,0
LEND_00067,-81.978,-58.9236,3.8,0.182,2.03,2030,0.46,0
LEND_00068,-89.2545,151.3929,3.76,0.191,0.98,980,0.274,0
LEND_00069,-80.1311,-175.6789,3.93,0.155,0.87,870,0.236,0
LEND_00070,-82.2776,19.0134,3.54,0.239,1.09,1090,0.317,0
LEND_00071,-88.0128,86.6389,3.98,0.143,1.08,1080,0.268,0
LEND_00072,-89.9448,-5.3935,4.05,0.13,0.75,750,0.201,0
LEND_00073,-81.8454,-149.2549,3.78,0.187,0.47,470,0.179,0
LEND_00074,-82.9314,170.0861,3.62,0.221,0.51,510,0.203,0
LEND_00075,-82.7099,6.4838,3.52,0.243,1.44,1440,0.383,0
LEND_00076,-82.2873,41.107,3.95,0.151,1.05,1050,0.267,0
LEND_00077,-89.2596,-94.8205,3.69,0.207,2.01,2010,0.469,0
LEND_00078,-86.4153,-5.9407,3.82,0.177,1.18,1180,0.303,0
LEND_00079,-88.8413,-25.5062,3.77,0.189,1.26,1260,0.324,0
LEND_00080,-81.369,-153.0375,3.62,0.221,2.06,2060,0.485,0
LEND_00081,-83.767,-141.7823,3.86,0.171,1.25,1250,0.313,0
LEND_00082,-86.691,121.4901,3.82,0.178,1.25,1250,0.316,0
LEND_00083,-89.3644,-93.6648,3.94,0.153,0.99,990,0.257,0
LEND_00084,-86.8902,-109.815,3.68,0.209,1.65,1650,0.405,0
LEND_00085,-86.7482,1.7681,3.65,0.215,1.05,1050,0.298,0
LEND_00086,-82.7039,96.749,4.07,0.125,1.42,1420,0.321,0
LEND_00087,-83.6244,-157.6993,3.99,0.142,1.15,1150,0.28,0
LEND_00088,-81.1279,27.6509,4.04,0.131,1.3,1300,0.302,0
LEND_00089,-85.2779,-137.0842,3.59,0.229,1.87,1870,0.454,0
LEND_00090,-88.8041,-166.874,3.66,0.214,1.09,1090,0.305,0
LEND_00091,-82.8676,-161.0122,3.21,0.309,5.59,5590,0.98,1
LEND_00092,-82.3921,120.2991,4.1,0.118,1.38,1380,0.31,0
LEND_00093,-84.3872,-137.5299,4.12,0.113,2.08,2080,0.435,0
LEND_00094,-82.2903,-163.7455,4.08,0.122,1.62,1620,0.356,0
LEND_00095,-85.062,-22.356,3.53,0.241,0.89,890,0.282,0
LEND_00096,-84.7727,123.8376,4.07,0.124,2.13,2130,0.449,0
LEND_00097,-85.7246,-85.533,4.13,0.112,0.95,950,0.229,0
LEND_00098,-89.7458,-28.1835,3.54,0.239,2.17,2170,0.514,0
LEND_00099,-88.9211,-165.6279,3.79,0.185,0.66,660,0.212,0
LEND_00100,-89.6857,-18.3317,3.88,0.167,2.2,2200,0.483,0
LEND_00101,-83.6359,27.9407,3.16,0.32,5.39,5390,0.98,1
LEND_00102,-86.8564,25.5265,3.86,0.17,1.66,1660,0.387,0
LEND_00103,-84.9143,-60.3264,4.12,0.114,1.71,1710,0.368,0
LEND_00104,-80.9243,-66.4081,4.11,0.117,1.59,1590,0.347,0
LEND_00105,-87.5071,-141.6155,4.16,0.106,1.78,1780,0.377,0
LEND_00106,-85.8962,-47.9526,3.84,0.174,1.2,1200,0.305,0
LEND_00107,-82.4445,-144.1819,3.79,0.186,0.4,400,0.165,0
LEND_00108,-87.712,95.9745,3.97,0.147,0.98,980,0.252,0
LEND_00109,-89.2302,167.8587,3.79,0.185,1.52,1520,0.369,0
LEND_00110,-87.1025,169.2268,3.53,0.241,1.53,1530,0.399,0
LEND_00111,-88.3878,131.4256,4.0,0.139,0.67,670,0.191,0
LEND_00112,-80.703,36.2852,3.7,0.205,0.78,780,0.244,0
LEND_00113,-81.9188,72.3117,3.53,0.24,1.22,1220,0.342,0
LEND_00114,-83.666,-77.3259,3.51,0.244,1.68,1680,0.428,0
LEND_00115,-81.2854,47.0774,4.15,0.107,1.92,1920,0.403,0
LEND_00116,-81.9633,-15.9662,3.68,0.209,0.46,460,0.188,0
LEND_00117,-88.1343,-6.4738,3.81,0.18,2.06,2060,0.464,0
LEND_00118,-81.0744,92.7996,4.17,0.104,2.06,2060,0.427,0
LEND_00119,-84.6066,-78.5094,3.06,0.341,4.29,4290,0.95,1
LEND_00120,-81.9256,-65.5057,3.56,0.235,1.26,1260,0.347,0
LEND_00121,-81.0391,152.871,3.89,0.164,1.42,1420,0.34,0
LEND_00122,-86.82,-159.7593,3.56,0.234,1.35,1350,0.362,0
LEND_00123,-88.8995,-5.1717,3.57,0.233,1.47,1470,0.384,0
LEND_00124,-87.7206,148.6083,4.1,0.119,1.26,1260,0.289,0
LEND_00125,-85.7289,39.7307,2.85,0.386,4.33,4330,0.98,1
LEND_00126,-81.8199,16.7065,3.98,0.145,0.48,480,0.16,0
LEND_00127,-81.3927,-90.0921,3.86,0.171,0.7,700,0.213,0
LEND_00128,-89.9305,-56.4208,3.66,0.214,1.71,1710,0.418,0
LEND_00129,-84.8925,126.7374,3.86,0.169,0.76,760,0.223,0
LEND_00130,-85.8259,21.3185,3.55,0.237,1.88,1880,0.46,0
LEND_00131,-87.7789,5.3072,3.74,0.195,1.07,1070,0.292,0
LEND_00132,-88.8013,-144.1513,3.87,0.169,1.09,1090,0.282,0
LEND_00133,-86.6238,-174.2299,3.66,0.213,1.95,1950,0.461,0
LEND_00134,-80.5709,166.9267,2.77,0.404,3.88,3880,0.907,1
LEND_00135,-86.768,-44.285,3.54,0.24,0.66,660,0.24,0
LEND_00136,-84.8121,37.1567,3.84,0.174,2.17,2170,0.482,0
LEND_00137,-82.9698,-151.3026,4.0,0.14,1.33,1330,0.312,0
LEND_00138,-86.3637,65.9211,3.8,0.183,0.66,660,0.211,0
LEND_00139,-80.2822,155.724,4.11,0.116,0.62,620,0.171,0
LEND_00140,-80.3755,27.2395,3.94,0.152,1.94,1940,0.429,0
LEND_00141,-87.4822,-134.5985,4.17,0.103,1.44,1440,0.313,0
LEND_00142,-85.0275,29.4197,3.7,0.205,0.52,520,0.197,0
LEND_00143,-86.9912,95.885,4.16,0.106,1.99,1990,0.415,0
LEND_00144,-87.1516,-33.69,3.92,0.156,1.14,1140,0.285,0
LEND_00145,-89.6311,136.7416,4.02,0.135,2.18,2180,0.464,0
LEND_00146,-83.9044,53.5259,4.13,0.112,0.84,840,0.208,0
LEND_00147,-84.9732,143.7296,3.89,0.164,1.3,1300,0.319,0
LEND_00148,-89.4852,44.4619,4.1,0.118,0.63,630,0.173,0
LEND_00149,-87.2135,-132.7363,3.88,0.166,1.14,1140,0.29,0
LEND_00150,-80.9173,-68.511,3.92,0.157,0.64,640,0.195,0
LEND_00151,-87.6044,-107.3538,3.81,0.18,0.88,880,0.25,0
LEND_00152,-88.5511,147.1775,3.6,0.225,0.81,810,0.26,0
LEND_00153,-85.1055,93.744,3.89,0.164,0.84,840,0.235,0
LEND_00154,-80.1435,63.5034,4.18,0.1,2.14,2140,0.439,0
LEND_00155,-87.5794,-71.6521,4.05,0.129,0.37,370,0.132,0
LEND_00156,-83.2786,-113.7439,4.02,0.135,1.24,1240,0.293,0
LEND_00157,-82.3838,92.3224,3.95,0.15,1.5,1500,0.348,0
LEND_00158,-87.6236,-9.3031,3.74,0.195,1.56,1560,0.381,0
LEND_00159,-82.7178,-98.7158,3.62,0.222,1.73,1730,0.425,0
LEND_00160,-86.3222,41.9839,3.66,0.214,1.75,1750,0.425,0
LEND_00161,-83.6769,-165.4798,3.5,0.246,2.12,2120,0.509,0
LEND_00162,-83.6647,-62.5787,3.97,0.146,1.74,1740,0.389,0
LEND_00163,-84.6423,-11.3195,4.07,0.125,1.87,1870,0.403,0
LEND_00164,-89.0971,-126.735,3.69,0.207,1.31,1310,0.342,0
LEND_00165,-81.647,174.4756,3.56,0.233,1.55,1550,0.399,0
LEND_00166,-86.7922,-104.7249,3.74,0.197,1.21,1210,0.318,0
LEND_00167,-88.1348,-133.0729,3.7,0.203,0.83,830,0.253,0
LEND_00168,-89.5922,-106.7274,3.82,0.179,0.9,900,0.253,0
LEND_00169,-84.0911,96.862,3.68,0.208,0.99,990,0.284,0
LEND_00170,-83.2244,-26.818,3.74,0.196,0.95,950,0.271,0
LEND_00171,-89.8341,23.5497,4.14,0.111,1.31,1310,0.294,0
LEND_00172,-84.8791,-172.4367,3.73,0.197,0.77,770,0.238,0
LEND_00173,-87.735,-167.6047,4.05,0.129,1.28,1280,0.297,0
LEND_00174,-83.5483,-19.5028,3.94,0.153,2.04,2040,0.447,0
LEND_00175,-88.2563,113.9959,3.74,0.196,1.07,1070,0.293,0
LEND_00176,-83.0906,138.686,4.07,0.124,0.72,720,0.193,0
LEND_00177,-86.1326,-148.7856,3.92,0.158,0.96,960,0.253,0
