sample_id,latitude_deg,longitude_deg,annual_illumination_pct,sunlight_hours_yr,max_continuous_sunlight_hrs,max_continuous_darkness_hrs,psr_flag,direct_earth_visibility_pct,solar_energy_yield_kwh_m2_yr
ILLUM_00000,-86.2546,-38.2912,79.1,6929,1333,196,0,72.0,9053
ILLUM_00001,-80.4929,-9.5632,0.0,0,0,8760,1,0.0,0
ILLUM_00002,-82.6801,127.6371,70.1,6141,1304,89,0,77.6,8023
ILLUM_00003,-84.0134,-57.5984,70.9,6211,1042,178,0,66.0,8115
ILLUM_00004,-88.4398,133.0739,67.6,5922,496,726,0,73.8,7737
ILLUM_00005,-88.4401,-148.2716,67.4,5904,597,410,0,62.5,7714
ILLUM_00006,-89.4192,99.6474,5.0,438,0,629,0,13.8,572
ILLUM_00007,-81.3382,125.1171,38.5,3373,361,497,0,50.2,4407
ILLUM_00008,-83.9888,-114.5456,77.8,6815,1120,121,0,68.6,8905
ILLUM_00009,-82.9193,-25.0752,84.1,7367,943,151,0,84.5,9626
ILLUM_00010,-89.7942,-120.4201,21.0,1840,564,446,0,13.2,2404
ILLUM_00011,-80.3009,74.3775,55.0,4818,424,384,0,64.7,6295
ILLUM_00012,-81.6756,12.7252,75.3,6596,935,194,0,78.6,8618
ILLUM_00013,-87.8766,48.7164,69.2,6062,592,685,0,79.0,7920
ILLUM_00014,-88.1818,-109.2647,55.8,4888,436,635,0,49.4,6387
ILLUM_00015,-88.166,-103.7715,5.0,438,0,432,0,0.0,572
ILLUM_00016,-86.9576,-165.061,63.2,5536,482,390,0,66.2,7234
ILLUM_00017,-84.7524,-64.0557,72.0,6307,1050,220,0,64.5,8241
ILLUM_00018,-85.6805,21.5081,64.3,5633,394,526,0,72.3,7359
ILLUM_00019,-87.0877,128.8566,69.1,6053,535,613,0,80.5,7909
ILLUM_00020,-83.8815,60.0939,40.6,3557,400,433,0,49.6,4647
ILLUM_00021,-88.6051,-23.2573,90.4,7919,1502,32,0,90.5,10347
ILLUM_00022,-87.0786,163.1232,73.6,6447,1323,131,0,76.1,8424
ILLUM_00023,-86.3364,78.9283,54.9,4809,424,597,0,64.8,6284
ILLUM_00024,-85.4393,154.8595,85.0,7446,1017,190,0,93.0,9729
ILLUM_00025,-82.1482,9.9317,83.6,7323,1308,215,0,88.0,9568
ILLUM_00026,-88.0033,-86.7945,73.1,6404,916,83,0,67.4,8367
ILLUM_00027,-84.8577,-160.9824,53.1,4652,615,719,0,50.3,6078
ILLUM_00028,-84.0759,81.3905,51.9,4546,591,735,0,60.0,5940
ILLUM_00029,-89.5355,-136.3309,28.0,2453,300,552,0,24.3,3205
ILLUM_00030,-83.9246,-71.001,23.6,2067,428,749,0,14.4,2701
ILLUM_00031,-88.2948,11.6895,48.0,4205,505,486,0,50.7,5494
ILLUM_00032,-89.3495,23.19,50.9,4459,596,590,0,58.8,5826
ILLUM_00033,-80.5111,36.21,20.6,1805,691,445,0,29.1,2358
ILLUM_00034,-80.3437,-120.1481,81.7,7157,1110,119,0,79.0,9351
ILLUM_00035,-81.916,-43.2945,52.7,4617,678,644,0,46.1,6032
ILLUM_00036,-86.9539,42.1899,48.0,4205,662,500,0,56.7,5494
ILLUM_00037,-89.0233,169.1348,38.8,3399,645,526,0,43.3,4441
ILLUM_00038,-83.1577,81.9472,9.5,832,0,532,0,15.4,1087
ILLUM_00039,-85.5985,152.1374,78.0,6833,1233,245,0,88.5,8927
ILLUM_00040,-88.7796,94.3963,31.9,2794,664,699,0,40.1,3651
ILLUM_00041,-85.0482,33.0181,55.1,4827,540,743,0,66.5,6306
ILLUM_00042,-89.6561,-110.8716,55.1,4827,559,412,0,48.4,6306
ILLUM_00043,-80.9068,60.0068,50.7,4441,469,601,0,64.2,5803
ILLUM_00044,-87.4122,44.4166,47.0,4117,557,700,0,56.9,5379
ILLUM_00045,-83.3748,36.8889,15.7,1375,0,457,0,23.2,1797
ILLUM_00046,-86.8829,-3.6771,24.5,2146,602,375,0,26.0,2804
ILLUM_00047,-84.7993,10.3164,49.0,4292,329,525,0,51.6,5608
ILLUM_00048,-84.5329,-59.6007,74.8,6552,926,226,0,66.4,8561
ILLUM_00049,-88.1515,6.9526,39.7,3478,585,378,0,42.2,4544
ILLUM_00050,-80.3042,-108.8799,19.5,1708,0,509,0,9.9,2232
ILLUM_00051,-82.2487,109.8628,0.0,0,0,8760,1,0.0,0
