sample_id,latitude_deg,longitude_deg,lroc_wac_albedo,optical_maturation_omat,boulder_density_per_100m2,max_boulder_diameter_m,crater_density_per_km2,landing_hazard_index,nac_high_res_coverage
LROC_00000,-86.2546,-38.2912,0.163,0.201,0.2,0.9,94,0.4,1
LROC_00001,-80.4929,-9.5632,0.168,0.176,0.36,1.07,63,0.295,1
LROC_00002,-82.6801,127.6371,0.191,0.171,0.67,1.5,55,0.3,1
LROC_00003,-84.0134,-57.5984,0.167,0.176,0.84,1.45,36,0.245,1
LROC_00004,-88.4398,133.0739,0.202,0.149,0.78,1.15,71,0.378,1
LROC_00005,-88.4401,-148.2716,0.184,0.174,1.49,1.77,80,0.499,0
LROC_00006,-89.4192,99.6474,0.186,0.172,0.19,0.9,33,0.155,1
LROC_00007,-81.3382,125.1171,0.181,0.16,0.76,1.41,16,0.155,1
LROC_00008,-83.9888,-114.5456,0.197,0.181,0.08,0.85,89,0.366,1
LROC_00009,-82.9193,-25.0752,0.197,0.179,0.6,0.99,47,0.26,1
LROC_00010,-89.7942,-120.4201,0.19,0.185,0.66,1.47,87,0.427,1
LROC_00011,-80.3009,74.3775,0.193,0.162,0.18,0.84,73,0.314,1
LROC_00012,-81.6756,12.7252,0.182,0.148,0.37,1.06,20,0.124,1
LROC_00013,-87.8766,48.7164,0.193,0.18,1.32,1.61,25,0.258,1
LROC_00014,-88.1818,-109.2647,0.18,0.169,0.12,0.99,41,0.178,0
LROC_00015,-88.166,-103.7715,0.185,0.163,0.43,1.07,86,0.396,0
LROC_00016,-86.9576,-165.061,0.181,0.16,2.02,2.5,59,0.478,1
LROC_00017,-84.7524,-64.0557,0.178,0.176,0.53,1.35,45,0.244,1
LROC_00018,-85.6805,21.5081,0.175,0.205,0.97,1.74,77,0.424,1
LROC_00019,-87.0877,128.8566,0.192,0.166,1.32,1.7,58,0.39,1
LROC_00020,-83.8815,60.0939,0.205,0.151,0.17,1.02,55,0.24,1
LROC_00021,-88.6051,-23.2573,0.203,0.178,0.18,0.93,61,0.266,1
LROC_00022,-87.0786,163.1232,0.166,0.188,1.07,1.37,83,0.46,1
LROC_00023,-86.3364,78.9283,0.204,0.136,1.05,1.46,93,0.498,1
LROC_00024,-85.4393,154.8595,0.18,0.189,0.05,0.65,16,0.07,0
LROC_00025,-82.1482,9.9317,0.194,0.205,0.29,0.95,29,0.151,1
LROC_00026,-88.0033,-86.7945,0.171,0.144,0.38,1.09,34,0.182,0
LROC_00027,-84.8577,-160.9824,0.187,0.157,1.32,1.69,17,0.226,1
LROC_00028,-84.0759,81.3905,0.19,0.132,0.41,1.19,53,0.261,1
LROC_00029,-89.5355,-136.3309,0.163,0.186,1.95,2.58,88,0.586,1
LROC_00030,-83.9246,-71.001,0.194,0.188,4.26,4.55,24,0.607,1
LROC_00031,-88.2948,11.6895,0.205,0.169,1.14,1.89,54,0.353,1
LROC_00032,-89.3495,23.19,0.182,0.199,0.82,1.54,27,0.206,1
LROC_00033,-80.5111,36.21,0.205,0.18,0.37,0.84,58,0.276,1
LROC_00034,-80.3437,-120.1481,0.182,0.204,0.05,0.84,46,0.19,1
LROC_00035,-81.916,-43.2945,0.198,0.188,0.64,1.45,87,0.425,1
LROC_00036,-86.9539,42.1899,0.152,0.186,0.34,0.77,44,0.217,1
