point_id,grid_x_km,grid_y_km,latitude_deg,longitude_deg,elevation_m,slope_deg,roughness_m,annual_illumination_pct,max_temp_k,min_temp_k,psr_flag,ice_prob,weh_wt_pct,radiation_msv_yr,shielding_factor,earth_vis_pct,suitability_score,zone_class
SP_GRID_000_000,-280.0,-280.0,-80.0,-135.0,1221.8,2.53,0.37,57.6,203.2,146.1,0,0.0,0.13,332.7,0.191,58.4,52.81,Spaceport / Landing Pad
SP_GRID_000_001,-274.34,-280.0,-80.0,-134.4154,1433.8,2.21,0.29,59.8,204.8,147.8,0,0.0,0.27,339.1,0.166,60.4,53.61,Spaceport / Landing Pad
SP_GRID_000_002,-268.69,-280.0,-80.0,-133.8188,1636.6,2.34,0.29,61.6,206.2,149.3,0,0.0,0.18,344.8,0.142,62.4,53.98,Spaceport / Landing Pad
SP_GRID_000_003,-263.03,-280.0,-80.0,-133.2101,1820.4,2.41,0.3,63.3,207.4,150.6,0,0.0,0.09,345.9,0.138,64.1,54.52,Spaceport / Landing Pad
SP_GRID_000_004,-257.37,-280.0,-80.0,-132.589,1976.4,1.34,0.37,65.2,208.9,152.2,0,0.0,0.13,346.8,0.134,65.6,55.89,Spaceport / Landing Pad
SP_GRID_000_005,-251.72,-280.0,-80.0,-131.9552,2098.0,0.94,0.18,66.5,209.9,153.2,0,0.0,0.25,347.1,0.133,66.8,56.54,Spaceport / Landing Pad
SP_GRID_000_006,-246.06,-280.0,-80.0,-131.3086,2180.5,1.31,0.29,67.1,210.3,153.7,0,0.0,0.15,346.8,0.134,67.6,56.62,Spaceport / Landing Pad
SP_GRID_000_007,-240.4,-280.0,-80.0,-130.6489,2222.1,0.86,0.39,67.7,210.8,154.2,0,0.0,0.23,347.2,0.133,68.0,57.01,Spaceport / Landing Pad
SP_GRID_000_008,-234.75,-280.0,-80.0,-129.9759,2223.6,0.56,0.23,67.9,210.9,154.3,0,0.0,0.11,347.4,0.132,68.0,57.14,Spaceport / Landing Pad
SP_GRID_000_009,-229.09,-280.0,-80.0,-129.2894,2188.3,1.25,0.42,67.2,210.4,153.8,0,0.0,0.18,346.9,0.134,67.6,56.68,Spaceport / Landing Pad
SP_GRID_000_010,-223.43,-280.0,-80.0,-128.5892,2121.7,1.1,0.4,66.7,210.0,153.3,0,0.0,0.2,347.0,0.134,67.0,56.54,Spaceport / Landing Pad
SP_GRID_000_011,-217.78,-280.0,-80.0,-127.875,2031.1,1.25,0.26,65.8,209.3,152.6,0,0.0,0.17,346.9,0.134,66.1,56.13,Spaceport / Landing Pad
SP_GRID_000_012,-212.12,-280.0,-80.0,-127.1467,1924.9,1.59,0.43,64.6,208.5,151.7,0,0.0,0.11,346.6,0.135,65.1,55.55,Spaceport / Landing Pad
