node_id,node_name,latitude_deg,longitude_deg,elevation_m,slope_deg,roughness_m,local_relief_m,annual_illumination_pct,sunlight_hours_yr,continuous_sunlight_hrs,continuous_darkness_hrs,psr_flag,ice_prob,weh_ppm,weh_wt_pct,lend_neutron_cps,max_temp_k,min_temp_k,temp_range_k,shielding_factor,radiation_msv_yr,earth_vis_pct,plagioclase_pct,pyroxene_pct,ilmenite_tio2_pct,feo_pct,regolith_depth_m,nearest_crater_km,crater_diameter_km,suitability_score,zone_class
N01,Shackleton Crater Rim,-89.28,15.399999999999975,4120,4.5,7.0,5320,86.0,7550,1720,52,1,0.81,502,0.432,3.2,220.0,38.0,182.0,0.175,297.6,65.3,78.0,14.0,0.45,4.2,6.1,0.3,18.5,90.9,ISRU Cryogenic Mining Outpost
N02,Mons Malapert Plateau,-85.99,12.899999999999975,5100,4.8,7.5,6300,84.0,7400,1640,64,1,0.78,484,0.414,3.3,220.0,38.0,182.0,0.177,297.4,74.7,78.0,14.0,0.45,4.2,5.9,0.5,22.0,89.8,ISRU Cryogenic Mining Outpost
N03,Faustini Rim A,-87.14,76.98000000000002,3200,5.1,8.0,4400,82.0,7250,1560,76,1,0.74,466,0.396,3.4,220.0,38.0,182.0,0.178,297.2,80.3,32.0,38.0,0.45,4.2,6.0,0.7,25.5,88.7,ISRU Cryogenic Mining Outpost
N04,Connecting Ridge,-89.44,222.7,4350,5.4,8.5,5550,80.0,7100,1480,88,1,0.71,448,0.378,3.5,220.0,38.0,182.0,0.18,297.0,53.5,78.0,14.0,0.45,4.2,6.1,0.9,29.0,87.6,ISRU Cryogenic Mining Outpost
N05,de Gerlache Crater Rim,-88.5,271.7,3850,5.7,9.0,5050,78.0,6950,1400,100,1,0.67,430,0.36,3.6,220.0,38.0,182.0,0.182,296.7,52.5,78.0,14.0,0.45,4.2,6.0,1.1,32.5,86.5,ISRU Cryogenic Mining Outpost
N06,Haworth Crater Rim,-87.4,354.9,3950,6.0,9.5,5150,76.0,6800,1320,112,1,0.64,412,0.342,3.7,220.0,38.0,182.0,0.183,296.5,66.7,32.0,38.0,0.45,4.2,6.0,1.3,36.0,85.4,Optimal Habitat Base
N07,Mons Mouton (Leibnitz),-84.5,327.9,6100,6.3,10.0,7300,74.0,6650,1240,124,1,0.6,394,0.324,3.8,220.0,38.0,182.0,0.185,296.3,70.1,32.0,38.0,0.45,4.2,5.9,1.5,39.5,84.3,Optimal Habitat Base
N08,Nobile Crater Rim,-85.2,53.5,3400,6.6,10.5,4600,72.0,6500,1160,136,1,0.57,376,0.306,3.9,220.0,38.0,182.0,0.187,296.1,84.0,32.0,38.0,0.45,4.2,5.9,1.7,43.0,83.2,Optimal Habitat Base
N09,Amundsen Crater Peak,-84.5,82.80000000000001,2900,6.9,11.0,4100,70.0,6350,1080,148,1,0.53,358,0.288,4.0,220.0,38.0,182.0,0.188,295.9,88.4,78.0,14.0,0.45,4.2,5.9,1.9,46.5,82.1,Optimal Habitat Base
N10,Marius Hills Lava Tube,14.12,303.24,-2200,2.8,11.5,3400,50.0,4380,354,354,0,0.0,85,0.04,4.1,384.0,100.0,284.0,0.166,298.8,53.2,32.0,38.0,11.2,18.5,3.1,2.1,50.0,81.0,Optimal Habitat Base
N11,Cabeus Crater,-84.9,324.5,-4100,7.5,12.0,5300,66.0,6050,920,172,1,0.46,322,0.252,4.2,220.0,38.0,182.0,0.192,295.5,68.3,32.0,38.0,0.45,4.2,5.9,2.3,53.5,79.9,Secondary Exploration Zone
