sample_id,latitude_deg,longitude_deg,m3_plagioclase_pct,m3_pyroxene_pct,m3_olivine_pct,ilmenite_tio2_pct,feo_iron_oxide_pct,thorium_ppm,m3_3um_h2o_band_depth,regolith_depth_m,isru_oxygen_potential_pct
PDS_M3_00000,-86.2546,-38.2912,70.0,21.0,9.0,0.66,3.87,1.42,0.085,6.0,43.4
PDS_M3_00001,-80.4929,-9.5632,71.5,17.8,10.7,0.26,3.26,1.12,0.044,5.3,43.1
PDS_M3_00002,-82.6801,127.6371,77.6,14.6,7.8,0.42,5.27,1.18,0.064,6.8,43.8
PDS_M3_00003,-84.0134,-57.5984,71.3,18.9,9.8,0.39,3.9,0.95,0.067,5.1,43.7
PDS_M3_00004,-88.4398,133.0739,80.5,8.5,11.0,0.5,4.57,1.15,0.113,6.3,43.3
PDS_M3_00005,-88.4401,-148.2716,75.7,14.6,9.7,0.11,4.37,0.61,0.073,5.9,43.8
PDS_M3_00006,-89.4192,99.6474,76.3,16.4,7.3,0.23,4.76,1.41,0.091,7.1,44.1
PDS_M3_00007,-81.3382,125.1171,74.9,15.7,9.4,0.43,5.54,0.8,0.06,6.6,43.1
PDS_M3_00008,-83.9888,-114.5456,79.1,13.2,7.7,0.57,4.74,0.83,0.118,5.2,44.0
PDS_M3_00009,-82.9193,-25.0752,79.1,13.8,7.1,0.46,5.59,0.4,0.043,4.0,44.3
PDS_M3_00010,-89.7942,-120.4201,77.3,14.4,8.3,0.55,4.76,0.85,0.22,4.5,44.3
PDS_M3_00011,-80.3009,74.3775,78.3,13.6,8.1,0.48,4.31,0.81,0.102,6.2,43.0
PDS_M3_00012,-81.6756,12.7252,75.2,14.6,10.2,0.64,4.46,1.17,0.05,5.7,44.1
PDS_M3_00013,-87.8766,48.7164,78.2,13.3,8.5,0.67,2.1,0.71,0.116,5.8,43.6
PDS_M3_00014,-88.1818,-109.2647,74.6,15.5,9.9,0.34,3.84,0.97,0.133,6.1,43.4
PDS_M3_00015,-88.166,-103.7715,76.0,16.9,7.1,0.58,4.09,0.9,0.133,4.8,44.7
PDS_M3_00016,-86.9576,-165.061,74.9,18.0,7.1,0.53,4.55,0.57,0.059,5.7,43.7
PDS_M3_00017,-84.7524,-64.0557,74.2,18.7,7.1,0.83,4.18,1.17,0.22,5.8,43.4
PDS_M3_00018,-85.6805,21.5081,73.2,18.9,7.9,0.33,4.47,1.03,0.041,4.1,43.9
PDS_M3_00019,-87.0877,128.8566,77.9,13.6,8.5,0.43,3.14,1.11,0.069,5.1,44.4
PDS_M3_00020,-83.8815,60.0939,81.2,9.4,9.4,0.3,2.93,1.35,0.047,6.3,43.9
PDS_M3_00021,-88.6051,-23.2573,80.7,8.4,10.9,0.3,3.25,1.1,0.069,6.6,43.6
PDS_M3_00022,-87.0786,163.1232,71.0,20.6,8.4,0.51,5.46,1.0,0.044,4.8,43.5
PDS_M3_00023,-86.3364,78.9283,81.2,11.6,7.2,0.48,3.19,1.38,0.102,6.4,44.3
PDS_M3_00024,-85.4393,154.8595,74.7,17.5,7.8,0.53,3.57,1.0,0.044,5.1,43.5
PDS_M3_00025,-82.1482,9.9317,78.4,11.0,10.6,0.53,4.28,0.95,0.097,4.7,44.2
PDS_M3_00026,-88.0033,-86.7945,72.4,17.8,9.8,0.41,2.93,1.3,0.056,8.1,43.5
PDS_M3_00027,-84.8577,-160.9824,76.6,13.2,10.2,0.41,3.5,0.87,0.052,5.3,42.9
PDS_M3_00028,-84.0759,81.3905,77.3,15.2,7.5,0.3,4.74,1.45,0.066,4.0,44.3
PDS_M3_00029,-89.5355,-136.3309,70.1,22.4,7.5,0.34,3.85,1.15,0.101,5.3,43.6
PDS_M3_00030,-83.9246,-71.001,78.4,14.2,7.4,0.44,5.55,1.57,0.092,5.5,44.2
PDS_M3_00031,-88.2948,11.6895,81.4,8.2,10.4,0.48,2.84,1.08,0.108,6.9,44.0
PDS_M3_00032,-89.3495,23.19,75.3,16.9,7.8,0.56,3.92,1.38,0.191,5.4,43.7
PDS_M3_00033,-80.5111,36.21,81.4,9.0,9.6,0.54,3.85,0.61,0.054,6.3,44.1
PDS_M3_00034,-80.3437,-120.1481,75.2,15.7,9.1,0.68,4.19,1.48,0.072,7.1,43.6
PDS_M3_00035,-81.916,-43.2945,79.4,11.4,9.2,0.3,3.22,1.31,0.059,5.1,44.5
PDS_M3_00036,-86.9539,42.1899,67.1,25.1,7.8,0.42,3.74,0.91,0.093,6.1,43.3
PDS_M3_00037,-89.0233,169.1348,85.7,5.0,9.3,0.32,4.83,1.36,0.06,5.7,44.7
PDS_M3_00038,-83.1577,81.9472,82.0,10.8,7.2,0.64,3.98,0.72,0.089,6.1,44.1
PDS_M3_00039,-85.5985,152.1374,74.9,14.1,11.0,0.37,3.34,0.95,0.144,5.9,42.7
PDS_M3_00040,-88.7796,94.3963,68.1,24.8,7.1,0.62,5.86,0.84,0.088,6.0,43.0
PDS_M3_00041,-85.0482,33.0181,77.2,15.6,7.2,0.67,4.24,1.38,0.149,5.5,44.0
PDS_M3_00042,-89.6561,-110.8716,70.2,21.5,8.3,0.51,4.69,1.47,0.097,5.8,43.1
PDS_M3_00043,-80.9068,60.0068,77.8,11.9,10.3,0.49,4.81,0.97,0.163,5.5,43.2
PDS_M3_00044,-87.4122,44.4166,77.6,14.4,8.0,0.46,4.14,0.72,0.2,8.6,44.2
PDS_M3_00045,-83.3748,36.8889,72.2,18.9,8.9,0.4,3.57,0.81,0.083,6.5,42.9
PDS_M3_00046,-86.8829,-3.6771,80.5,12.4,7.1,0.38,4.36,1.13,0.134,5.8,44.1
PDS_M3_00047,-84.7993,10.3164,79.2,13.5,7.3,0.43,3.64,1.11,0.078,5.4,43.6
PDS_M3_00048,-84.5329,-59.6007,79.9,10.7,9.4,0.72,4.5,1.0,0.113,7.0,44.1
PDS_M3_00049,-88.1515,6.9526,76.0,16.2,7.8,0.29,4.07,0.85,0.042,4.8,43.8
PDS_M3_00050,-80.3042,-108.8799,70.3,19.9,9.8,0.48,5.02,1.59,0.22,4.3,42.6
PDS_M3_00051,-82.2487,109.8628,79.9,10.0,10.1,0.56,3.29,0.91,0.175,4.2,43.7
PDS_M3_00052,-80.605,-113.1203,74.9,14.7,10.4,0.41,4.77,0.85,0.174,7.4,43.5
PDS_M3_00053,-81.0517,-149.4121,70.4,22.1,7.5,0.51,4.69,1.44,0.06,7.3,43.6
PDS_M3_00054,-84.021,-22.9514,81.4,9.8,8.8,0.22,4.01,1.02,0.06,6.0,44.0
PDS_M3_00055,-80.7813,56.9907,84.4,5.0,10.6,0.65,4.78,1.25,0.071,5.1,43.9
PDS_M3_00056,-89.1151,-22.4219,75.8,14.1,10.1,0.62,4.54,0.84,0.167,5.1,43.2
PDS_M3_00057,-88.0402,-80.3685,84.6,7.9,7.5,0.44,4.73,1.25,0.157,8.3,44.2
PDS_M3_00058,-89.5477,20.9416,76.4,14.6,9.0,0.32,4.68,1.32,0.061,5.7,44.0
PDS_M3_00059,-86.7467,-55.0792,74.5,14.8,10.7,0.57,4.24,0.77,0.087,6.2,43.7
PDS_M3_00060,-86.1132,155.8324,73.5,17.7,8.8,0.28,3.72,0.94,0.079,5.3,43.5
PDS_M3_00061,-87.2865,152.1523,82.5,7.2,10.3,0.3,3.71,0.83,0.103,5.9,43.7
PDS_M3_00062,-81.7126,0.8539,72.9,18.1,9.0,0.44,4.03,0.94,0.054,6.3,43.2
PDS_M3_00063,-86.4325,-61.9618,78.9,13.7,7.4,0.68,4.87,1.58,0.045,8.0,43.9
PDS_M3_00064,-87.1907,85.3677,73.8,18.6,7.6,0.55,4.71,1.18,0.042,5.7,43.7
PDS_M3_00065,-84.573,-166.7833,74.2,18.6,7.2,0.35,5.0,1.68,0.069,6.4,43.9
PDS_M3_00066,-88.5908,-9.0832,80.1,12.1,7.8,0.2,5.09,1.54,0.216,5.4,43.6
PDS_M3_00067,-81.978,-58.9236,74.5,14.9,10.6,0.46,4.03,1.44,0.109,6.0,43.7
PDS_M3_00068,-89.2545,151.3929,74.4,16.0,9.6,0.49,5.77,1.54,0.123,6.2,43.1
PDS_M3_00069,-80.1311,-175.6789,80.5,9.5,10.0,0.44,4.12,1.45,0.214,5.6,43.7
PDS_M3_00070,-82.2776,19.0134,82.4,8.1,9.5,0.72,3.8,1.61,0.073,6.1,43.7
PDS_M3_00071,-88.0128,86.6389,78.6,12.9,8.5,0.43,4.47,1.26,0.079,4.9,44.2
PDS_M3_00072,-89.9448,-5.3935,73.4,18.7,7.9,0.11,4.59,1.31,0.067,6.4,44.3
