dataset_file,column_name,data_type,total_rows,missing_count,missing_pct,unique_values,min_val,max_val,mean_val,median_val,std_val,is_coordinate,is_potential_target
diviner_benchmark_thermal_sites.csv,node_id,object,10,0,0.0,10,N/A,N/A,N/A,N/A,N/A,False,False
diviner_benchmark_thermal_sites.csv,name,object,10,0,0.0,10,N/A,N/A,N/A,N/A,N/A,False,False
diviner_benchmark_thermal_sites.csv,latitude_deg,float64,10,0,0.0,10,-89.9,14.1,-77.231,-87.27,32.133,True,False
diviner_benchmark_thermal_sites.csv,longitude_deg,float64,10,0,0.0,10,-88.3,76.98,1.788,6.45,51.084,True,False
diviner_benchmark_thermal_sites.csv,diviner_tmax_k,float64,10,0,0.0,10,88.0,290.0,176.3,216.5,76.223,False,False
diviner_benchmark_thermal_sites.csv,diviner_tmin_k,float64,10,0,0.0,10,35.0,265.0,126.5,155.0,81.691,False,False
diviner_benchmark_thermal_sites.csv,diviner_tavg_k,float64,10,0,0.0,10,48.0,277.0,147.75,191.5,85.85,False,False
diviner_benchmark_thermal_sites.csv,temp_range_k,float64,10,0,0.0,8,25.0,75.0,49.8,51.0,13.13,False,False
diviner_benchmark_thermal_sites.csv,cold_trap_flag,int64,10,0,0.0,2,0.0,1.0,0.4,0.0,0.516,False,False
diviner_benchmark_thermal_sites.csv,ice_stability_depth_cm,float64,10,0,0.0,7,0.0,999.0,106.5,7.0,313.701,False,False
diviner_benchmark_thermal_sites.csv,diviner_notes,object,10,0,0.0,10,N/A,N/A,N/A,N/A,N/A,False,False
diviner_lunar_thermal_dataset.csv,sample_id,object,5000,0,0.0,5000,N/A,N/A,N/A,N/A,N/A,False,False
diviner_lunar_thermal_dataset.csv,latitude_deg,float64,5000,0,0.0,4930,-90.0,79.64,-64.065,-83.335,43.014,True,False
diviner_lunar_thermal_dataset.csv,longitude_deg,float64,5000,0,0.0,4998,-179.981,179.822,-3.065,-5.05,102.822,True,False
diviner_lunar_thermal_dataset.csv,diviner_max_temp_k,float64,5000,0,0.0,1178,40.3,404.2,246.951,218.7,81.621,False,False
diviner_lunar_thermal_dataset.csv,diviner_min_temp_k,float64,5000,0,0.0,1224,25.2,190.0,137.692,141.9,34.778,False,False
diviner_lunar_thermal_dataset.csv,diviner_temp_range_k,float64,5000,0,0.0,1617,-23.4,320.2,109.259,65.1,100.586,False,False
diviner_lunar_thermal_dataset.csv,psr_cold_trap_flag,int64,5000,0,0.0,2,0.0,1.0,0.037,0.0,0.189,False,False
diviner_lunar_thermal_dataset.csv,ice_stability_depth_cm,float64,5000,0,0.0,2,0.0,999.0,962.037,999.0,188.592,False,False
lend_benchmark_polar_sites.csv,node_id,object,9,0,0.0,9,N/A,N/A,N/A,N/A,N/A,False,False
lend_benchmark_polar_sites.csv,name,object,9,0,0.0,9,N/A,N/A,N/A,N/A,N/A,False,False
lend_benchmark_polar_sites.csv,latitude_deg,float64,9,0,0.0,9,-89.9,14.1,-75.979,-87.14,33.823,True,False
lend_benchmark_polar_sites.csv,longitude_deg,float64,9,0,0.0,9,-56.8,76.98,11.798,12.9,42.527,True,False
lend_benchmark_polar_sites.csv,lend_epithermal_cps,float64,9,0,0.0,9,2.85,4.55,3.411,3.12,0.606,False,False
lend_benchmark_polar_sites.csv,neutron_suppression_index,float64,9,0,0.0,9,0.02,0.38,0.242,0.3,0.134,False,False
lend_benchmark_polar_sites.csv,weh_wt_pct,float64,9,0,0.0,9,0.08,5.4,2.873,3.6,2.16,False,False
lend_benchmark_polar_sites.csv,weh_ppm,int64,9,0,0.0,9,80.0,5400.0,2873.556,3600.0,2159.561,False,False
lend_benchmark_polar_sites.csv,water_ice_probability,float64,9,0,0.0,9,0.05,0.96,0.659,0.85,0.356,False,False
lend_benchmark_polar_sites.csv,volatiles_class,object,9,0,0.0,7,N/A,N/A,N/A,N/A,N/A,False,True
lend_benchmark_polar_sites.csv,lend_instrument_notes,object,9,0,0.0,9,N/A,N/A,N/A,N/A,N/A,False,False
lend_hydrogen_ice_dataset.csv,sample_id,object,5000,0,0.0,5000,N/A,N/A,N/A,N/A,N/A,False,False
lend_hydrogen_ice_dataset.csv,latitude_deg,float64,5000,0,0.0,4930,-90.0,79.64,-64.065,-83.335,43.014,True,False
lend_hydrogen_ice_dataset.csv,longitude_deg,float64,5000,0,0.0,4998,-179.981,179.822,-3.065,-5.05,102.822,True,False
lend_hydrogen_ice_dataset.csv,lend_epithermal_cps,float64,5000,0,0.0,175,2.7,4.8,3.996,3.95,0.403,False,False
lend_hydrogen_ice_dataset.csv,neutron_suppression_index,float64,5000,0,0.0,318,0.0,0.419,0.142,0.15,0.084,False,False
lend_hydrogen_ice_dataset.csv,weh_wt_pct,float64,5000,0,0.0,330,0.05,5.79,1.106,0.98,0.934,False,False
lend_hydrogen_ice_dataset.csv,weh_ppm,int64,5000,0,0.0,330,50.0,5790.0,1106.412,980.0,934.185,False,False
lend_hydrogen_ice_dataset.csv,water_ice_probability,float64,5000,0,0.0,544,0.009,0.98,0.269,0.264,0.19,False,False
lend_hydrogen_ice_dataset.csv,is_cold_trap,int64,5000,0,0.0,2,0.0,1.0,0.032,0.0,0.177,False,False
lro_illumination_benchmark_sites.csv,node_id,object,8,0,0.0,8,N/A,N/A,N/A,N/A,N/A,False,False
lro_illumination_benchmark_sites.csv,name,object,8,0,0.0,8,N/A,N/A,N/A,N/A,N/A,False,False
lro_illumination_benchmark_sites.csv,latitude_deg,float64,8,0,0.0,8,-89.9,-84.9,-87.906,-88.3,1.769,True,False
lro_illumination_benchmark_sites.csv,longitude_deg,float64,8,0,0.0,8,-35.5,271.0,76.047,30.15,111.083,True,False
lro_illumination_benchmark_sites.csv,annual_illumination_pct,float64,8,0,0.0,7,0.0,91.5,63.387,81.7,39.332,False,False
lro_illumination_benchmark_sites.csv,sunlight_hours_yr,int64,8,0,0.0,7,0.0,8015.0,5552.5,7156.5,3445.294,False,False
lro_illumination_benchmark_sites.csv,max_continuous_sunlight_hrs,int64,8,0,0.0,7,0.0,1720.0,1138.75,1435.0,714.392,False,False
lro_illumination_benchmark_sites.csv,max_continuous_darkness_hrs,int64,8,0,0.0,7,52.0,8760.0,2250.625,91.5,4017.713,False,False
lro_illumination_benchmark_sites.csv,psr_flag,int64,8,0,0.0,2,0.0,1.0,0.25,0.0,0.463,False,False
lro_illumination_benchmark_sites.csv,direct_earth_vis_pct,float64,8,0,0.0,7,0.0,95.0,61.75,77.0,38.73,False,False
lro_illumination_benchmark_sites.csv,solar_energy_yield_kwh_m2_yr,int64,8,0,0.0,7,0.0,10900.0,7551.25,9735.0,4685.523,False,False
lro_illumination_benchmark_sites.csv,lighting_regime,object,8,0,0.0,7,N/A,N/A,N/A,N/A,N/A,False,False
lro_illumination_benchmark_sites.csv,solar_suitability,object,8,0,0.0,8,N/A,N/A,N/A,N/A,N/A,False,True
lro_illumination_polar_dataset.csv,sample_id,object,5000,0,0.0,5000,N/A,N/A,N/A,N/A,N/A,False,False
lro_illumination_polar_dataset.csv,latitude_deg,float64,5000,0,0.0,4922,-90.0,79.64,-68.209,-83.752,39.484,True,False
lro_illumination_polar_dataset.csv,longitude_deg,float64,5000,0,0.0,4998,-179.981,179.822,-3.065,-5.05,102.822,True,False
lro_illumination_polar_dataset.csv,annual_illumination_pct,float64,5000,0,0.0,868,0.0,93.0,45.104,49.2,24.648,False,False
lro_illumination_polar_dataset.csv,sunlight_hours_yr,int64,5000,0,0.0,868,0.0,8147.0,3951.14,4310.0,2159.183,False,False
lro_illumination_polar_dataset.csv,max_continuous_sunlight_hrs,int64,5000,0,0.0,954,0.0,1849.0,549.775,499.0,441.859,False,False
lro_illumination_polar_dataset.csv,max_continuous_darkness_hrs,int64,5000,0,0.0,611,30.0,8760.0,755.394,514.0,1518.643,False,False
lro_illumination_polar_dataset.csv,psr_flag,int64,5000,0,0.0,2,0.0,1.0,0.034,0.0,0.182,False,False
lro_illumination_polar_dataset.csv,direct_earth_visibility_pct,float64,5000,0,0.0,962,0.0,100.0,45.841,44.5,34.289,False,False
lro_illumination_polar_dataset.csv,solar_energy_yield_kwh_m2_yr,int64,5000,0,0.0,868,0.0,10644.0,5162.396,5631.0,2821.118,False,False
lroc_benchmark_sites_imagery.csv,node_id,object,7,0,0.0,7,N/A,N/A,N/A,N/A,N/A,False,False
lroc_benchmark_sites_imagery.csv,name,object,7,0,0.0,7,N/A,N/A,N/A,N/A,N/A,False,False
lroc_benchmark_sites_imagery.csv,latitude_deg,float64,7,0,0.0,7,-89.44,14.1,-72.55,-85.99,38.252,True,False
lroc_benchmark_sites_imagery.csv,longitude_deg,float64,7,0,0.0,7,-56.8,222.7,41.311,15.4,92.491,True,False
lroc_benchmark_sites_imagery.csv,lroc_wac_albedo,float64,7,0,0.0,7,0.095,0.192,0.163,0.18,0.037,False,False
lroc_benchmark_sites_imagery.csv,optical_maturation_omat,float64,7,0,0.0,7,0.158,0.245,0.182,0.165,0.033,False,False
lroc_benchmark_sites_imagery.csv,boulder_density_per_100m2,float64,7,0,0.0,7,0.4,3.8,1.4,0.8,1.248,False,False
